Venue,City,Country,Date,Time,Status,Genre,Capacity,Price,LocationUrl
Mauerpark,Berlin,Germany,2026-04-30,22:00,Upcoming,World Music,500,Free,https://maps.google.com/?q=Mauerpark+Berlin
Zuckerzauber,Berlin,Germany,2026-05-08,20:00,Upcoming,Funk Soul,300,12,https://maps.google.com/?q=Zuckerzauber+Berlin
Werk 9,Berlin,Germany,2024-11-30,20:00,Completed,World Music,200,12,https://maps.google.com/?q=Werk+9+Berlin
ART Stalker,Berlin,Germany,2024-12-13,20:00,Completed,World Music,150,10,https://maps.google.com/?q=ART+Stalker+Berlin
Horns Erben,Leipzig,Germany,2025-01-19,20:00,Completed,Funk Soul,200,12,https://maps.google.com/?q=Horns+Erben+Leipzig
KAOS,Berlin,Germany,2025-03-22,20:00,Completed,World Music,250,12,https://maps.google.com/?q=KAOS+Berlin
Zuckerzauber,Berlin,Germany,2025-05-23,20:00,Completed,Funk Soul,300,15,https://maps.google.com/?q=Zuckerzauber+Berlin
Kulturelle Landapie,Wendland,Germany,2025-06-06,16:00,Completed,World Music,1000,Free,https://maps.google.com/?q=Kulturelle+Landapie+Wendland
Sommersonnenwende Festival,Grasleben,Germany,2025-06-21,16:00,Completed,Funk Soul,600,15,https://maps.google.com/?q=Sommersonnenwende+Festival+Grasleben
Mauerpark,Berlin,Germany,2025-07-13,16:00,Completed,World Music,500,Free,https://maps.google.com/?q=Mauerpark+Berlin
Privatclub,Berlin,Germany,2025-07-20,20:00,Completed,Funk Soul,300,15,https://maps.google.com/?q=Privatclub+Berlin
Uebel & Gefährlich,Hamburg,Germany,2025-07-27,20:00,Completed,World Music,500,15,https://maps.google.com/?q=Uebel+%26+Gef%C3%A4hrlich+Hamburg
Schnabeltierfestival,Münster,Germany,2025-08-22,16:00,Completed,Funk Soul,350,15,https://maps.google.com/?q=Schnabeltierfestival+M%C3%BCnster
Waltweiser Festival,Münster,Germany,2025-08-23,16:00,Completed,World Music,400,15,https://maps.google.com/?q=Waltweiser+Festival+M%C3%BCnster
